:START_ID,:END_ID,:TYPE,family_unit_id,claim_1,claim_2,fraud_signal
CUST-OH-5215-5637,CUST-OH-5316-5072,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-531640,REVIEW
CUST-OH-5215-5637,CUST-OH-2126-5740,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-212674,REVIEW
CUST-OH-5215-5637,CUST-OH-8044-9316,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-804410,REVIEW
CUST-OH-5215-5637,CUST-OH-9994-5024,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-999435,REVIEW
CUST-OH-5215-5637,CUST-OH-7569-6776,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-756981,REVIEW
CUST-OH-5215-5637,CUST-OH-4307-3612,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-430794,REVIEW
CUST-OH-5215-5637,CUST-OH-6262-7395,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-626208,REVIEW
CUST-OH-5215-5637,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-521585,CLM-221186,REVIEW
CUST-OH-5316-5072,CUST-OH-2126-5740,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-531640,CLM-212674,REVIEW
CUST-OH-5316-5072,CUST-OH-8044-9316,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-531640,CLM-804410,REVIEW
CUST-OH-5316-5072,CUST-OH-9994-5024,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-531640,CLM-999435,REVIEW
CUST-OH-5316-5072,CUST-OH-7569-6776,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-531640,CLM-756981,REVIEW
CUST-OH-5316-5072,CUST-OH-4307-3612,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-531640,CLM-430794,REVIEW
CUST-OH-5316-5072,CUST-OH-6262-7395,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-531640,CLM-626208,REVIEW
CUST-OH-5316-5072,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-531640,CLM-221186,REVIEW
CUST-OH-2126-5740,CUST-OH-8044-9316,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-212674,CLM-804410,REVIEW
CUST-OH-2126-5740,CUST-OH-9994-5024,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-212674,CLM-999435,REVIEW
CUST-OH-2126-5740,CUST-OH-7569-6776,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-212674,CLM-756981,REVIEW
CUST-OH-2126-5740,CUST-OH-4307-3612,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-212674,CLM-430794,REVIEW
CUST-OH-2126-5740,CUST-OH-6262-7395,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-212674,CLM-626208,REVIEW
CUST-OH-2126-5740,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-212674,CLM-221186,REVIEW
CUST-OH-8044-9316,CUST-OH-9994-5024,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-804410,CLM-999435,REVIEW
CUST-OH-8044-9316,CUST-OH-7569-6776,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-804410,CLM-756981,REVIEW
CUST-OH-8044-9316,CUST-OH-4307-3612,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-804410,CLM-430794,REVIEW
CUST-OH-8044-9316,CUST-OH-6262-7395,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-804410,CLM-626208,REVIEW
CUST-OH-8044-9316,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-804410,CLM-221186,REVIEW
CUST-OH-9994-5024,CUST-OH-7569-6776,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-999435,CLM-756981,REVIEW
CUST-OH-9994-5024,CUST-OH-4307-3612,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-999435,CLM-430794,REVIEW
CUST-OH-9994-5024,CUST-OH-6262-7395,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-999435,CLM-626208,REVIEW
CUST-OH-9994-5024,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-999435,CLM-221186,REVIEW
CUST-OH-7569-6776,CUST-OH-4307-3612,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-756981,CLM-430794,REVIEW
CUST-OH-7569-6776,CUST-OH-6262-7395,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-756981,CLM-626208,REVIEW
CUST-OH-7569-6776,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-756981,CLM-221186,REVIEW
CUST-OH-4307-3612,CUST-OH-6262-7395,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-430794,CLM-626208,REVIEW
CUST-OH-4307-3612,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-430794,CLM-221186,REVIEW
CUST-OH-6262-7395,CUST-OH-2211-9269,SHARED_CLAIM_EXPOSURE,FAM-LEWI-OH-0108,CLM-626208,CLM-221186,REVIEW
CUST-IN-3428-3984,CUST-IN-9515-4564,SHARED_CLAIM_EXPOSURE,FAM-BROO-IN-0020,CLM-342868,CLM-951543,REVIEW
CUST-IN-3428-3984,CUST-IN-5949-4061,SHARED_CLAIM_EXPOSURE,FAM-BROO-IN-0020,CLM-342868,CLM-594988,REVIEW
CUST-IN-3428-3984,CUST-IN-8440-8336,SHARED_CLAIM_EXPOSURE,FAM-BROO-IN-0020,CLM-342868,CLM-844007,REVIEW
CUST-IN-9515-4564,CUST-IN-5949-4061,SHARED_CLAIM_EXPOSURE,FAM-BROO-IN-0020,CLM-951543,CLM-594988,REVIEW
CUST-IN-9515-4564,CUST-IN-8440-8336,SHARED_CLAIM_EXPOSURE,FAM-BROO-IN-0020,CLM-951543,CLM-844007,REVIEW
CUST-IN-5949-4061,CUST-IN-8440-8336,SHARED_CLAIM_EXPOSURE,FAM-BROO-IN-0020,CLM-594988,CLM-844007,REVIEW
CUST-OH-6876-4181,CUST-OH-9140-8310,SHARED_CLAIM_EXPOSURE,FAM-MART-OH-0117,CLM-687698,CLM-914088,REVIEW
CUST-OH-6876-4181,CUST-OH-4637-4701,SHARED_CLAIM_EXPOSURE,FAM-MART-OH-0117,CLM-687698,CLM-463727,REVIEW
CUST-OH-6876-4181,CUST-OH-9968-9105,SHARED_CLAIM_EXPOSURE,FAM-MART-OH-0117,CLM-687698,CLM-996850,REVIEW
CUST-OH-6876-4181,CUST-OH-9523-8454,SHARED_CLAIM_EXPOSURE,FAM-MART-OH-0117,CLM-687698,CLM-952300,REVIEW
CUST-OH-6876-4181,CUST-OH-4694-2656,SHARED_CLAIM_EXPOSURE,FAM-MART-OH-0117,CLM-687698,CLM-469426,REVIEW
